"108年10月14日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","10.04","107","9.47","1.15","108/2",
"1102","亞泥","6.53","107","10.29","1.02","108/2",
"1103","嘉泥","5.42","107","11.53","0.54","108/2",
"1104","環泥","5.36","107","11.04","0.69","108/2",
"1108","幸福","0.00","107","-","0.70","108/2",
"1109","信大","4.51","107","6.41","0.96","108/2",
"1110","東泥","0.58","107","285.00","1.14","108/2",
"1201","味全","3.16","107","6.14","1.83","108/2",
"1203","味王","3.75","107","13.39","1.32","108/2",
"1210","大成","5.42","107","14.14","1.58","108/2",
"1213","大飲","0.00","106","-","0.56","108/2",
"1215","卜蜂","4.75","107","14.21","2.36","108/2",
"1216","統一","3.49","107","21.76","3.89","108/2",
"1217","愛之味","0.00","107","53.08","0.61","108/2",
"1218","泰山","3.88","107","20.40","1.60","108/2",
"1219","福壽","0.56","107","-","1.53","108/2",
"1220","台榮","4.61","107","24.95","0.81","108/2",
"1225","福懋油","3.07","107","32.81","2.66","108/2",
"1227","佳格","4.03","107","17.32","3.76","108/2",
"1229","聯華","6.11","107","13.85","1.39","108/2",
"1231","聯華食","5.64","107","12.52","2.04","108/2",
"1232","大統益","4.02","107","20.21","5.55","108/2",
"1233","天仁","4.97","107","20.87","2.32","108/2",
"1234","黑松","5.04","107","17.45","0.74","108/2",
"1235","興泰","4.40","107","97.93","0.48","108/2",
"1236","宏亞","3.09","107","-","0.86","108/2",
"1256","鮮活果汁-KY","3.71","107","12.03","3.23","108/2",
"1301","台塑","6.22","107","15.22","1.72","108/2",
"1303","南亞","7.14","107","16.55","1.57","108/2",
"1304","台聚","2.36","107","19.24","0.73","108/2",
"1305","華夏","9.84","107","16.64","1.24","108/2",
"1307","三芳","2.05","107","28.65","1.17","108/2",
"1308","亞聚","2.04","107","17.50","0.83","108/2",
"1309","台達化","3.60","107","27.75","0.86","108/2",
"1310","台苯","9.35","107","10.09","1.63","108/2",
"1312","國喬","0.00","107","6.77","0.70","108/2",
"1313","聯成","4.83","107","-","0.64","108/2",
"1314","中石化","9.90","107","9.35","0.41","108/2",
"1315","達新","3.39","107","9.24","0.83","108/2",
"1316","上曜","14.43","107","-","1.27","108/2",
"1319","東陽","3.79","107","14.12","1.26","108/2",
"1321","大洋","0.00","107","-","1.42","108/2",
"1323","永裕","5.34","107","10.37","1.56","108/2",
"1324","地球","3.04","107","987.00","0.75","108/2",
"1325","恆大","3.23","107","26.27","0.78","108/2",
"1326","台化","7.05","107","14.33","1.44","108/2",
"1337","再生-KY","0.00","107","-","0.20","108/2",
"1338","廣華-KY","5.46","107","13.55","0.83","108/2",
"1339","昭輝","4.53","107","10.15","0.96","108/2",
"1340","勝悅-KY","7.55","107","-","0.34","108/2",
"1341","富林-KY","4.81","107","20.46","2.83","108/2",
"1402","遠東新","6.25","107","15.16","0.76","108/2",
"1409","新纖","7.62","107","8.20","0.62","108/2",
"1410","南染","4.73","107","23.31","1.72","108/2",
"1413","宏洲","0.00","107","7.18","1.10","108/2",
"1414","東和","2.89","107","346.00","0.50","108/2",
"1416","廣豐","8.76","107","12.57","0.63","108/2",
"1417","嘉裕","0.00","107","-","1.04","108/2",
"1418","東華","0.00","107","-","0.49","108/2",
"1419","新紡","1.99","107","37.83","1.49","108/2",
"1423","利華","0.00","107","28.24","0.61","108/2",
"1432","大魯閣","0.00","107","-","0.75","108/2",
"1434","福懋","6.07","107","9.94","0.85","108/2",
"1435","中福","0.00","107","-","0.85","108/2",
"1436","華友聯","10.67","107","12.38","1.19","108/2",
"1437","勤益控","2.18","107","5.48","0.73","108/2",
"1438","裕豐","0.00","107","-","2.44","108/2",
"1439","中和","0.00","107","2.93","0.92","108/2",
"1440","南紡","3.54","107","38.97","0.75","108/2",
"1441","大東","36.75","107","-","0.55","108/2",
"1442","名軒","6.25","107","-","0.99","108/2",
"1443","立益","0.00","107","-","1.16","108/2",
"1444","力麗","4.31","107","21.09","0.83","108/2",
"1445","大宇","2.86","107","-","0.54","108/2",
"1446","宏和","0.97","107","-","2.74","108/2",
"1447","力鵬","2.89","107","-","0.59","108/2",
"1449","佳和","0.00","107","12.81","0.86","108/2",
"1451","年興","9.07","107","15.86","0.60","108/2",
"1452","宏益","7.80","107","12.38","0.99","108/2",
"1453","大將","12.58","107","-","0.54","108/2",
"1454","台富","2.50","107","38.10","0.66","108/2",
"1455","集盛","2.41","107","-","0.68","108/2",
"1456","怡華","0.00","107","21.08","0.67","108/2",
"1457","宜進","5.02","107","9.96","0.74","108/2",
"1459","聯發","0.00","107","-","0.71","108/2",
"1460","宏遠","1.94","107","79.23","0.92","108/2",
"1463","強盛","10.65","107","13.84","1.01","108/2",
"1464","得力","5.52","107","23.21","2.13","108/2",
"1465","偉全","2.09","107","4.00","0.73","108/2",
"1466","聚隆","0.00","107","-","0.54","108/2",
"1467","南緯","0.00","107","60.29","0.82","108/2",
"1468","昶和","0.00","107","27.03","1.46","108/2",
"1470","大統新創","1.86","107","23.89","1.94","108/2",
"1471","首利","0.00","107","-","0.60","108/2",
"1472","三洋紡","0.00","107","13.82","2.76","108/2",
"1473","台南","2.02","107","14.34","0.93","108/2",
"1474","弘裕","3.39","107","32.81","0.62","108/2",
"1475","本盟","0.00","107","-","3.70","108/2",
"1476","儒鴻","2.69","107","26.44","7.06","108/2",
"1477","聚陽","4.28","107","19.32","4.26","108/2",
"1503","士電","3.31","107","14.66","1.01","108/2",
"1504","東元","3.47","107","15.26","0.88","108/2",
"1506","正道","0.00","107","-","1.83","108/2",
"1507","永大","2.83","107","54.27","2.39","108/2",
"1512","瑞利","0.00","107","-","1.55","108/2",
"1513","中興電","4.94","107","16.07","1.15","108/2",
"1514","亞力","5.88","107","12.98","1.19","108/2",
"1515","力山","2.38","107","12.24","4.97","108/2",
"1516","川飛","2.99","107","44.00","1.32","108/2",
"1517","利奇","2.72","107","131.29","0.65","108/2",
"1519","華城","1.15","107","25.79","2.24","108/2",
"1521","大億","5.87","107","14.19","2.75","108/2",
"1522","堤維西","4.28","107","15.48","1.45","108/2",
"1524","耿鼎","5.03","107","9.57","0.78","108/2",
"1525","江申","3.31","107","10.73","0.97","108/2",
"1526","日馳","3.98","107","12.58","1.55","108/2",
"1527","鑽全","8.29","107","6.86","1.77","108/2",
